,ltt,lgt,land_no,cluster
1089,13.902087329849346,100.711724177646,51945,6
1090,13.902235144913648,100.7125871714675,51946,6
1091,13.901852511572033,100.7100153848107,51947,6
1092,13.901818152325443,100.71001732731918,51948,6
1093,13.901782180944682,100.71002704335136,51949,6
1094,13.901746329078817,100.71003028816683,51950,6
1095,13.901816961571877,100.71013515416108,51951,6
1096,13.901828568508476,100.71020172944954,51952,6
1097,13.901837131526944,100.71025865234812,51953,6
1098,13.90184737474325,100.71031403623373,51954,6
1099,13.90185676865194,100.71036655617176,51955,6
1100,13.901867773708489,100.71042054362997,51956,6
1101,13.901875180006984,100.71047759588042,51957,6
1102,13.901884950632564,100.7105322686663,51958,6
1103,13.9018930805186,100.7105857615426,51959,6
1104,13.901903405583896,100.71064025907552,51960,6
1105,13.901911514496126,100.71069559590042,51961,6
1106,13.901924022597608,100.7107577313084,51962,6
1107,13.901941625970707,100.7108626778357,51963,6
1108,13.901949341253015,100.71092248069016,51964,6
1109,13.90195940955415,100.7109757446783,51965,6
1110,13.901970233475025,100.71103125337773,51966,6
1111,13.901980086546022,100.71108452422855,51967,6
1112,13.901986900915752,100.71113758241088,51968,6
1113,13.90199747312045,100.71120045517098,51969,6
1114,13.902009130368198,100.71127355045545,51970,6
1115,13.902019469030003,100.71133710885442,51971,6
1116,13.90203049987054,100.7113928557058,51972,6
1117,13.902039325454211,100.7114494781528,51973,6
1118,13.90204923124109,100.71150510691032,51974,6
1119,13.902057966350691,100.71155856998816,51975,6
1120,13.902069476690444,100.71161241717454,51976,6
1121,13.90207880102682,100.71167265732228,51977,6
1122,13.902094833514848,100.71176831437216,51978,6
1123,13.902103753011062,100.71181291609948,51979,6
1124,13.902110946153948,100.71185379390698,51980,6
1125,13.902117889784938,100.71189629939808,51981,6
1126,13.902125237804956,100.71193912944156,51982,6
1127,13.902131690343664,100.7119809457708,51983,6
1128,13.902139630479738,100.712021369223,51984,6
1129,13.9021448226235,100.71206188156518,51985,6
1130,13.90215138269794,100.71210171050312,51986,6
1131,13.90216074222643,100.71215018293346,51987,6
1132,13.90216963186028,100.71220596967169,51988,6
1133,13.902180975595943,100.7122552337882,51989,6
1134,13.902185143369431,100.7122964599676,51990,6
1135,13.902193214731591,100.71233426381052,51991,6
1136,13.902199760373136,100.71237578966158,51992,6
1137,13.902207092886494,100.71241784906768,51993,6
1138,13.902213842964194,100.71245779141869,51994,6
1139,13.9022211901999,100.71249693564847,51995,6
1140,13.902226611694218,100.7125418742204,51996,6
1141,13.902243675795791,100.7126337706565,51997,6
1142,13.902251203178473,100.71268131069742,51998,6
1143,13.902258391354447,100.7127224602348,51999,6
1144,13.902266078584464,100.7127635498058,52000,6
1145,13.90227300432897,100.71280400511182,52001,6
1146,13.902280474163964,100.71284402890208,52002,6
1147,13.90228821941614,100.71288473509172,52003,6
1148,13.902293258289944,100.71292818259504,52004,6
1149,13.902302453762337,100.71297851354072,52005,6
1150,13.902312096260507,100.7130323611521,52006,6
1151,13.902319676362149,100.71307861585234,52007,6
1152,13.902325354403455,100.71312042373634,52008,6
1153,13.90233377767382,100.71316134571856,52009,6
1154,13.902339980722308,100.71320236960143,52010,6
1155,13.90234625277788,100.71324289807986,52011,6
1156,13.902354102410252,100.71328415402796,52012,6
1157,13.902360888151154,100.7133280107114,52013,6
1158,13.902370326711695,100.71336886322752,52014,6
1159,13.902377051990369,100.71341877134508,52015,6
1160,13.902420862303748,100.71367715420118,52020,6
1161,13.900892946354356,100.70921695821148,68414,8
1162,13.90096243926586,100.70957900327474,68415,8
1163,13.900964227775392,100.70907436528148,68419,8
1164,13.900707800768918,100.70916313420516,68421,8
1165,13.901181392992756,100.7098156399604,68424,8
1166,13.90113256136208,100.70982406572617,68425,8
1167,13.901094556683548,100.70983085624646,68426,8
1168,13.901059834950114,100.70983632552222,68427,8
1169,13.901024021572413,100.70984228713546,68428,8
1170,13.900988403145732,100.7098487691698,68429,8
1171,13.90095242908491,100.70985500781134,68430,8
1172,13.900915419280013,100.70986208670104,68431,8
1173,13.900879895117129,100.70986544913433,68432,8
1174,13.900840197723866,100.70987626427188,68433,8
1175,13.900811772334126,100.709716240359,68434,8
1176,13.90086342672086,100.70970839298724,68435,8
1177,13.900903845575,100.70969965338055,68436,8
1178,13.900943975721212,100.70969348542,68437,8
1179,13.900984712565627,100.70968603367896,68438,8
1180,13.901024885985374,100.70967991257848,68439,8
1181,13.9010657412385,100.7096728743829,68440,8
1182,13.901106050731594,100.70966552681438,68441,8
1183,13.901154454512904,100.70965823890472,68442,8
1184,13.901121860322952,100.70943857894392,68443,8
1185,13.901081099015125,100.70944642454629,68444,8
1186,13.901045272378411,100.7094534883261,68445,8
1187,13.90100928822505,100.7094587623157,68446,8
1188,13.900974259552394,100.70946617758486,68447,8
1189,13.900938466871324,100.70947367495708,68448,8
1190,13.900901610862512,100.709477906671,68449,8
1191,13.900866010804885,100.70948391956124,68450,8
